# Gradient from BCP/RCP (upwards)
# number of points: 123
# ---- origin of the path ---- 
# name: b5 (bond) ncp: 13 ncpcel: 13
# rho: 3.137795072E-01 grad: 2.500538196E-15 lap: -9.019386871E-01
# starting position (cryst.): 0.57733558   0.35645714   0.49411765   
# starting position (bohr): 1.13598238   -1.97363576  -0.00001294  
# starting path direction (bohr): -0.86641020  -0.49933291  0.00000125   
# ---- end of the path ---- 
# name: C_ (nucleus) ncp: 4 ncpcel: 4
# rho: 1.224259735E+02 grad: 0.000000000E+00 lap: -4.123135600E+06
# end position (cryst.): 0.49664593   0.30995864   0.49411927   
# end position (bohr): 0.00000000   -2.62826100  0.00000000   
# 
#          x                    y                    z                  rho                 rhox                 rhoy                 rhoz                rhoxx                rhoxy                rhoxz                rhoyy                rhoyz                rhozz 
  0.451544420430E+00  -0.236815359943E+01  -0.685009345780E-05   0.653883806756E+00  -0.285855951144E+01  -0.164930130278E+01   0.853514132956E-04   0.261824135302E+02   0.192009557897E+02   0.243715902960E-03   0.386388339590E+01   0.513776788070E-03  -0.709159269129E+01 
  0.442882269992E+00  -0.237315031332E+01  -0.661561449267E-05   0.688821544324E+00  -0.320067193717E+01  -0.184598675014E+01   0.809795342500E-04   0.293875336242E+02   0.215279857608E+02   0.136797886453E-03   0.432819525862E+01  -0.134011748937E-02  -0.799198015083E+01 
  0.434219242980E+00  -0.237814550730E+01  -0.636919880659E-05   0.727940787174E+00  -0.358443416803E+01  -0.206646747193E+01   0.106323043041E-03   0.329528385032E+02   0.241496767527E+02  -0.265246685422E-02   0.483373149780E+01  -0.502495555870E-02  -0.903265349838E+01 
  0.425555562846E+00  -0.238313956842E+01  -0.605976313572E-05   0.771748417529E+00  -0.401442048641E+01  -0.231376459502E+01   0.157782968732E-03   0.368676983096E+02   0.271100895681E+02  -0.258833229265E-02   0.539083804692E+01  -0.428182008891E-02  -0.102222358584E+02 
  0.416891608160E+00  -0.238813315322E+01  -0.574972885925E-05   0.820809374672E+00  -0.449596987884E+01  -0.259116143293E+01   0.163088218438E-03   0.412344774800E+02   0.304320948379E+02   0.938156136201E-03   0.596523076911E+01   0.474860253828E-03  -0.115838045338E+02 
  0.408227509193E+00  -0.239312648767E+01  -0.548078557649E-05   0.875754460514E+00  -0.503531384952E+01  -0.290190373061E+01   0.147224392992E-03   0.461917023029E+02   0.341748157185E+02   0.149513281864E-02   0.654774543371E+01  -0.279255920796E-03  -0.131613896917E+02 
  0.399563302868E+00  -0.239811963585E+01  -0.525609877489E-05   0.937294055334E+00  -0.564004866563E+01  -0.325023654261E+01   0.136700593075E-03   0.517283918202E+02   0.384019566168E+02   0.986409353648E-03   0.720197600669E+01   0.205135716873E-03  -0.149581014916E+02 
  0.390899090278E+00  -0.240311277316E+01  -0.508559316703E-05   0.100622734617E+01  -0.631802668425E+01  -0.364098930676E+01   0.112989663010E-03   0.579355953250E+02   0.431825755751E+02   0.354255920105E-02   0.791781948893E+01   0.106582402300E-03  -0.170341832272E+02 
  0.382234929738E+00  -0.240810600078E+01  -0.497658728804E-05   0.108345275958E+01  -0.707849832216E+01  -0.407939378325E+01   0.735045653472E-04   0.649303452595E+02   0.485794036506E+02   0.508778471679E-02   0.866872562492E+01  -0.157161026310E-03  -0.194143551101E+02 
  0.373570821124E+00  -0.241309931851E+01  -0.494167336607E-05   0.116998250267E+01  -0.793203901467E+01  -0.457148909786E+01   0.198158867272E-04   0.728182677855E+02   0.546859029621E+02   0.761486525995E-02   0.947888361700E+01   0.459521781064E-03  -0.221508119025E+02 
